index,time_step,hidden_size,num_layer,batch_size,k,r2,mae,rmse,train_loss,test_loss
0,24,128,2,512,4,0.8064198099117276,0.20157048,0.2789676,0.029285198,0.07782292
1,24,128,2,512,4,0.6193989628533998,0.2540044,0.35298082,0.08573161,0.124595456
2,24,128,2,512,4,0.8603201331160394,0.16523428,0.2342983,0.041500114,0.054895684
3,24,128,2,512,4,0.13997372020459897,0.35664225,0.4785043,0.14673229,0.22896637
4,24,128,2,512,4,0.3986345977969392,0.28543493,0.3904323,0.111725256,0.15243739
5,24,128,2,512,4,0.7673624928324657,0.19468372,0.28151727,0.048359986,0.07925198
6,24,128,2,512,4,-0.9688473863884985,0.39376792,0.54220635,0.17526485,0.29398775
7,24,128,2,512,4,-1.0021587388025162,0.41177556,0.5446998,0.20517032,0.29669788
8,24,128,2,512,4,0.9065940688075798,0.13399304,0.19857672,0.027246054,0.039432712
9,24,128,2,512,4,-0.023527522564089853,0.52329564,0.65757495,1.8418756,0.4324048
10,24,128,2,512,4,-1.336117294333862,0.4772536,0.65475637,0.2030075,0.42870587
11,24,128,2,512,4,0.8904924679378523,0.1463922,0.21051179,0.028015751,0.04431521
12,24,128,2,512,4,-1.5675070769552728,0.45368108,0.6052943,0.20488775,0.36638117
13,24,128,2,512,4,-14.398866884204226,0.54472256,0.7201824,0.48883876,0.51866263
14,24,128,2,512,4,-2.0208290344535986,0.46647346,0.59549147,0.25796527,0.35461012
15,24,128,2,512,4,-1.0826585984120167,0.3956789,0.5340284,0.15011448,0.28518635
16,24,128,2,512,4,0.2118431772748277,0.37995264,0.49945787,0.16013248,0.24945815
17,24,128,2,512,4,0.6686365698139641,0.2316842,0.3314812,0.072570845,0.10987978
18,24,128,2,512,4,0.9165070721479418,0.12703604,0.18468322,0.018094799,0.03410789
19,24,128,2,512,4,0.1590520659910023,0.33875915,0.46512666,0.107174456,0.21634278
20,24,128,2,512,4,-1.4418173403403438,0.46301126,0.63245857,0.2579249,0.40000385
21,24,128,2,512,4,-1.047751745142265,0.39383617,0.5207221,0.15475097,0.2711515
22,24,128,2,512,4,0.033452873896217206,0.3232081,0.42165065,0.102937065,0.17778926
23,24,128,2,512,4,-2.6598834725100544,0.47255406,0.6355034,0.21328025,0.40386465
24,24,128,2,512,4,-0.13817703396795,0.3525065,0.48843142,0.10280933,0.23856527
25,24,128,2,512,4,-1.5796638009161392,0.45821568,0.6289189,0.15757607,0.395539
26,24,128,2,512,4,-2.179280539350003,0.46766084,0.640396,0.23237066,0.41010705
27,24,128,2,512,4,-0.9688352374682638,0.44691047,0.6089663,0.20950142,0.37083992
28,24,128,2,512,4,0.8987260183396394,0.13986123,0.20786577,0.026877273,0.043208186
29,24,128,2,512,4,-0.39151432749019377,0.37267187,0.50863236,0.14097182,0.2587069
